competitions_id,teamId,team_rank,totalTeams,profile_id_str,flags,team_capacity,members_num
3934,103437,15,717,lucamassaron;adjgiulio,1,97.90794979,2
7380,1034406,110,3341,berserker408;kesterz;xinqili,1,96.70757258,3
7380,1034849,2243,3341,akshay3;skahmad,1,32.86441185,2
3929,103491,1,284,barisumog;adjgiulio,1,99.64788732,2
7082,1035949,274,5163,uginjay;avtoschakov,1,94.69300794,2
7162,1036120,9,1081,smudap;rafalrutkowski92;macbar,1,99.16743756,3
7391,1036781,929,1674,bochen0909;lzs0047,1,44.5041816,2
3887,103718,1013,1784,snake91;ivanpaterno,1,43.21748879,2
3933,103750,78,313,josephdviviano;nikhil153;jon212671,1,75.0798722,3
7380,1037699,687,3341,hidy0503;mdsfdwei1,1,79.43729422,2
7380,1037717,1065,3341,rajeshbhat;vignesh8491,1,68.12331637,2
3929,103780,28,284,dmaust;frederickhadley,1,90.14084507,2
3934,103782,593,717,saikumararava;achikp;bhuvneshwar;pinak25,1,17.29428173,4
3934,103783,545,717,abhishekpriyam;saurabhgoel,1,23.9888424,2
7162,1038699,762,1081,okmegy;spacecupcake,1,29.50971323,2
7380,1038836,981,3341,xfsm1912;yhnedison,1,70.63753367,2
7391,1039157,782,1674,josephch405;jchen623,1,53.28554361,2
7380,1039161,1,3341,weimin;tivfrvqhs5,1,99.97006884,2
3800,103965,16,200,kimmyholic;keshabkparhi,1,92,2
7391,1039725,454,1674,arnaudlievin;rloury,1,72.87933094,2
3887,104018,1483,1784,sgsunil;nishikantjohari,1,16.87219731,2
7380,1040301,298,3341,tyronecragg;busterbluth,1,91.08051482,2
7162,1041671,352,1081,mrcferro;europio;progerbr,1,67.43755782,3
7380,1041819,1677,3341,kacper1095;secezar,1,49.80544747,2
3800,104222,139,200,president;joelmpiper;monicapangilinan,1,30.5,3
3887,104286,927,1784,giorgiarocco;francescamatano;albertodiiorio,1,48.03811659,3
3934,104298,201,717,chandrad;krishnajallam,1,71.9665272,2
3887,104354,672,1784,felipecruz;franciscoeduardomoura;pablocarneiroelias;pedrodiniz,1,62.33183857,4
7380,1043997,614,3341,mrruby;panchos39,1,81.62226878,2
7391,1044409,341,1674,loveall;sankar1535;lamilam,1,79.62962963,3
7391,1046707,1434,1674,sardhendumishra;royxss,1,14.33691756,2
7391,1046827,1481,1674,wheatex;collinreinking,1,11.52927121,2
7162,1047173,911,1081,tcuvelier;sarahwassermann,1,15.72617946,2
7042,1048270,122,260,timon88;digitalchaos666,1,53.07692308,2
3951,104853,18,632,jiweiliu;xueerchen;econoraptor,1,97.15189873,3
3951,104855,42,632,wangli;hyposulphite;dennismcclung,1,93.35443038,3
7082,1048709,3901,5163,ajithvajrala;amoslayola,1,24.44315321,2
7162,1049033,91,1081,danilds;samerfatayri,1,91.58186864,2
3951,104962,34,632,jfkingiii;theredrifle,1,94.62025316,2
3887,105013,863,1784,limpin;garylim,1,51.62556054,2
2447,1051,69,252,tteravai;laudanovic,1,72.61904762,2
7162,1051507,202,1081,tingtingl;danavg,1,81.31359852,2
7115,1052573,494,626,sunakshi132;ajay88,1,21.08626198,2
7082,1053164,1259,5163,laviniapaganini;trakton,1,75.61495255,2
7082,1053418,265,5163,antont;znyksh,1,94.8673252,2
7380,1053535,520,3341,inodino;oskarkarnblad,1,84.43579767,2
3933,105399,138,313,jiweiliu;xueerchen,1,55.91054313,2
7162,1054155,28,1081,stephenbprice;warpri81,1,97.40980574,2
7380,1054537,1980,3341,changliu14;xuexiaoy;kangk1,1,40.7363065,3
3951,105459,63,632,newtohere;razgon;tayshin,1,90.03164557,3
3951,105466,14,632,gertjac;kazanova;adrienpapaioannou,1,97.78481013,3
7380,1054810,1354,3341,aphaniteja;adityagudimella;anjanarao,1,59.47321161,3
7380,1055593,1484,3341,sinter;slevente,1,55.58216103,2
3951,105604,367,632,uday1889;seemakurthi;vitalstatistix,1,41.93037975,3
3951,105618,1,632,owenzhang1;xavierconort,1,99.84177215,2
7380,1056540,2780,3341,jiefeng0;wangjian790;echoseattle,1,16.79137983,3
7082,1056652,475,5163,medkhaliljabri;alaeddineayadi;mohamedjedidi,1,90.79992253,3
7082,1056930,2796,5163,girrajm;swappy09,1,45.8454387,2
3800,105707,31,200,josephartsimovich;rachelbowyer,1,84.5,2
