competitions_id,teamId,team_rank,totalTeams,profile_id_str,flags,team_capacity,members_num,avg_abi,avg_qua,avg_par,country_num
7391,1016797,211,1674,sanarasheed;zusmani,1,87.40 ,2,7.31 ,2077.50 ,9.00 ,2
7391,1017013,917,1674,buinyi;lyapen,1,45.22 ,2,0.47 ,2008.00 ,4.50 ,1
7082,1017179,4197,5163,zeenzuft;cloudly,1,18.71 ,2,0.10 ,1655.00 ,1.00 ,1
7391,1017454,1580,1674,sorooshnazem;soheil,1,5.62 ,2,0.01 ,2030.00 ,2.00 ,1
7043,1018743,71,162,timon88;digitalchaos666,1,56.17 ,2,0.99 ,1580.00 ,27.50 ,2
7082,1020145,882,5163,zhengneng;kylexy999,1,82.92 ,2,0.01 ,2015.50 ,1.00 ,1
7082,1020976,795,5163,wwb203;huaweicern,1,84.60 ,2,0.15 ,1744.50 ,2.00 ,1
7391,1021097,440,1674,ujjwal9;codename007,1,73.72 ,2,2.83 ,1524.50 ,34.50 ,1
7391,1021135,1561,1674,ireneteinemaa;cbentes,1,6.75 ,2,0.42 ,2344.50 ,20.00 ,2
7391,1023145,1337,1674,camontanezp;jfcgon,1,20.13 ,2,0.03 ,1922.00 ,4.50 ,1
